City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Luwuk,ID,86.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
447,Nichinan,JP,74.35,overcast clouds,31.6,131.3667,Guest House Aki
448,Sao Jose Da Coroa Grande,BR,77.11,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
451,Mayumba,GA,76.5,moderate rain,-3.432,10.6554,LIKWALE LODGE
452,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
455,Bara,NG,77.41,broken clouds,10.3744,10.7288,
456,Nampula,MZ,73.35,clear sky,-15.1165,39.2666,BUTIK Hotel
458,Merauke,ID,86.86,moderate rain,-8.4667,140.3333,
464,Ugoofaaru,MV,80.83,overcast clouds,5.6667,73.0,Ungoofaaru Inn
469,Jacareacanga,BR,72.55,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
474,Salawagan,PH,89.17,few clouds,7.7053,125.115,Violeta B. Cardona
477,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
481,San Rafael Del Sur,NI,76.17,broken clouds,11.8485,-86.4384,Hospedaje El Chino
483,Tsiroanomandidy,MG,74.37,broken clouds,-18.7667,46.0333,Hotel du Bongolave
485,Kavieng,PG,85.41,clear sky,-2.5744,150.7967,Nusa Island Retreat
486,Swedru,GH,73.31,scattered clouds,5.5371,-0.6998,Emma-Ike Guesthouse
488,Marang,MY,87.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
491,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
492,Puerto Rondon,CO,76.24,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
495,Carupano,VE,77.23,scattered clouds,10.6678,-63.2585,Hotel La dorada
497,Malakal,SS,76.41,scattered clouds,9.5334,31.6605,Nile Palace Hotel
501,Makasar,ID,87.85,scattered clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
503,Shakawe,BW,77.43,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
506,Coari,BR,74.16,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
517,Umm Kaddadah,SD,76.14,clear sky,13.6017,26.6876,
520,Asamankese,GH,72.5,scattered clouds,5.8601,-0.6635,Juniel lodge
526,Gwadar,PK,77.59,clear sky,25.1216,62.3254,Sadaf Resort
527,Itarema,BR,77.9,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
529,Ormara,PK,80.38,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
