City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Gariaband,IN,2021-11-15 16:47:04,20.635,82.0614,76.55,93,53,4.23
164,Yumen,CN,2021-11-15 16:43:16,40.2833,97.2,30.78,34,25,12.01
165,Praia Da Vitoria,PT,2021-11-15 16:45:42,38.7333,-27.0667,71.85,78,75,20.36
166,Svetlaya,RU,2021-11-15 16:47:05,46.5389,138.3297,27.32,43,81,7.52
167,Kaitangata,NZ,2021-11-15 16:47:06,-46.2817,169.8464,46.27,94,87,6.76
168,Souillac,MU,2021-11-15 16:44:46,-20.5167,57.5167,76.35,83,20,4.61
169,Geraldton,AU,2021-11-15 16:47:07,-28.7667,114.6,61.21,82,40,2.3
170,Klaksvik,FO,2021-11-15 16:47:08,62.2266,-6.589,49.12,92,100,40.02
171,Pilar,BR,2021-11-15 16:44:38,-9.5972,-35.9567,89.53,50,48,14.41
172,Tura,IN,2021-11-15 16:47:09,25.5198,90.2201,61.21,81,0,3.11
173,Sibolga,ID,2021-11-15 16:47:10,1.7427,98.7792,76.57,88,81,3.78
174,Ishigaki,JP,2021-11-15 16:47:10,24.3448,124.1572,74.44,61,45,15.99
175,Buluang,PH,2021-11-15 16:47:11,13.3068,123.3425,76.98,91,84,3.62
176,Kenai,US,2021-11-15 16:42:18,60.5544,-151.2583,-3.91,84,1,0.0
177,Alofi,NU,2021-11-15 16:47:12,-19.0595,-169.9187,69.69,94,40,1.14
178,Sisimiut,GL,2021-11-15 16:47:13,66.9395,-53.6735,23.54,77,100,15.57
179,Launceston,AU,2021-11-15 16:44:39,-41.45,147.1667,44.24,61,90,8.05
180,Bambous Virieux,MU,2021-11-15 16:44:38,-20.3428,57.7575,76.21,83,20,4.61
181,Umtata,ZA,2021-11-15 16:47:15,-31.5889,28.7844,79.36,61,0,9.22
182,Bubaque,GW,2021-11-15 16:47:15,11.2833,-15.8333,84.31,52,52,7.02
183,Vardo,NO,2021-11-15 16:47:16,70.3705,31.1107,31.75,93,75,4.61
184,Cockburn Town,TC,2021-11-15 16:48:16,21.4612,-71.1419,85.96,62,40,14.97
185,Saint-Joseph,RE,2021-11-15 16:48:20,-21.3667,55.6167,75.58,79,46,5.39
186,San Javier,ES,2021-11-15 16:45:57,37.8063,-0.8374,62.67,57,20,3.44
187,Turbat,PK,2021-11-15 16:43:25,26.0023,63.044,72.19,17,0,15.88
188,Srisailam,IN,2021-11-15 16:48:21,16.0833,78.8667,71.73,99,58,4.72
189,Kaupanger,NO,2021-11-15 16:48:22,61.1845,7.2404,41.49,93,75,2.3
190,Mizan Teferi,ET,2021-11-15 16:48:23,6.9833,35.5833,62.2,95,100,3.4
191,Rocha,UY,2021-11-15 16:45:55,-34.4833,-54.3333,77.25,69,70,9.82
192,Pointe Michel,DM,2021-11-15 16:48:24,15.25,-61.3833,86.94,58,20,4.61
